name,image,specialty,description,url
Alcatraz Island,http://www.smartdestinations.com/img/pt/dest/Sfo/att/Sfo_Att_Alcatraz_Night_Tour_Combo/gallery/Alcatraz-Night-Tour-Combo-1.jpg,Prison,"Operated by the National Park Service, former federal prison, access by private ferry",https://www.nps.gov/alca/index.htm
American Bookbinders Museum ,http://bookbindersmuseum.org/wp-content/themes/abm/img/hdr/hdr-home-900.jpg,History,The history of bookbinding and bookbinders in the nineteenth and twentieth centuries,http://www.bookbindersmuseum.org
Asian Art Museum of San Francisco,http://cdn.funcheap.com/wp-content/uploads/2013/07/aasf11.jpg,Art,"Arts of India, China, western Asia (including Persia), South-East Asia, Korea & Japan",http://www.asianart.org/
Beat Museum ,http://www.litquake.org/sites/default/files/beat%20museum%20banner.jpg,Literary,memorabilia and bookstore,http://www.kerouac.com/
San Francisco Cable Car Museum,http://iv1.lisimg.com/image/9955305/640full-san-francisco-cable-car-museum.jpg,History,"Houses a collection of historic cable cars, photographs, mechanical displays and gift shop",http://www.cablecarmuseum.org/
California Academy of Sciences,https://upload.wikimedia.org/wikipedia/commons/0/02/California_Academy_of_Sciences_pano.jpg,Natural History,"A Planetarium, Aquarium, & Natural History Museum under a Living Roof.",http://www.calacademy.org/
California Historical Society,http://cdn.funcheap.com/wp-content/uploads/2010/01/ca_historical_society.jpg,History,State history and culture,http://www.californiahistoricalsociety.org/
Cartoon Art Museum,http://farm4.static.flickr.com/3016/2415429539_85a44b8fc3.jpg?v=0,Art,"Art of comics & cartoons, including original animation cels, comic book pages & early newspaper comic strips",http://cartoonart.org/
Children's Creativity Museum ,https://upload.wikimedia.org/wikipedia/commons/2/23/Zeum_in_SF.jpg,Childrens,"A hands-on, multimedia arts and technology experience for kids. ",http://creativity.org/
Chinese Historical Society of America,https://media.timeout.com/images/102875315/617/347/image.jpg,Ethnic or History,History of Chinese in U.S.,http://chsa.org/
Chinese Culture Center ,http://s3-media2.fl.yelpcdn.com/bphoto/CrmBI0RY5POn9RrkkXt42w/o.jpg,Art,Exhibitions of traditional & contemporary Chinese & Chinese-American art,http://www.c-c-c.org/
Contemporary Jewish Museum,https://s3-media2.fl.yelpcdn.com/buphoto/xOEAuMHhA_YPIvu9eA53fA/o.jpg,Ethnic or History,"Contemporary perspectives on Jewish culture, history, art and ideas",http://www.thecjm.org/
de Young Memorial Museum,http://cdn.funcheap.com/wp-content/uploads/2015/05/de-young-museum11.jpg,Art,"American painting, sculpture & decorative art, African, Oceanic, Meso-American, Central & South American art, textiles, contemporary craft, graphics art",https://deyoung.famsf.org/
Exploratorium ,https://media-cdn.tripadvisor.com/media/photo-s/03/d5/08/a5/the-exploratorium.jpg,Science,Hands-on science exhibits,http://www.exploratorium.edu/
"Fort Point, San Francisco",https://upload.wikimedia.org/wikipedia/commons/5/5c/Golden_Gate_Bridge_and_Fort_Point_2009b.jpg,Military or History,Part of Presidio of San Francisco,https://www.nps.gov/fopo/index.htm
GLBT History Museum,http://www.glbthistory.org/wp/wp-content/uploads/2015/07/Graphic_Nicoletta.jpg,History,"History and culture of gay, lesbian, bisexual and transgender individuals, communities and movements",http://www.glbthistory.org/museum/
Haas-Lilienthal House,http://cdn.funcheap.com/wp-content/uploads/2012/10/Haas-Lilienthal_59491.jpg,History,1886 Victorian house with period rooms,http://www.sfheritage.org/haas-lilienthal-house/
International Art Museum of America,http://imgs.sfgate.com/blogs/images/sfgate/hleon/2011/07/26/IAMA750450x337.jpg,Art,"Eastern and Western art including works by Chinese masters, Yun sculptures, classic 18th to 20th-century European portraits and landscapes",http://www.iamasf.org/
The LAB,https://c7.staticflickr.com/2/1130/5103174230_841d4e8f17_b.jpg,Art,Interdisciplinary arts organization with public gallery,http://www.thelab.org/
Legion of Honor  ,http://sffcm.org/fileadmin/Legion_2014/Legion-of-Honor-San-Francisco2.jpg,Art,Collections are mostly French & European art,http://legionofhonor.famsf.org/
Madame Tussauds,http://travellingoncontainervessels.com/wp-content/uploads/2016/02/Madame-Tussauds-San-Francisco.jpg,Wax,"Located in Fisherman's Wharf, includes San Francisco celebrities, movie stars, music performers, sports stars, politicians and world leaders",https://www2.madametussauds.com/
Mexican Museum,http://art-for-a-change.com/blog/wp-content/uploads/2013/08/mexican_museum.jpg,Ethnic or History,"Historic and contemporary art and culture of the Latino, Chicano, Mexican, and Mexican-American people",http://www.mexicanmuseum.org/
Military Intelligence Service Historic Learning Center,https://s3-media4.fl.yelpcdn.com/bphoto/sRVeP_FGRDogZiFhtuxHOg/ls.jpg,History or Military,"History of US Military Intelligence Service in the Presidio, Japanese American history, art and culture, operated by the National Japanese American Historical Society",http://njahs.org/640/
Mission Cultural Center for Latino Arts,http://media.chatterblock.com/cache/a8/35/a835a888c521b32cbde00892f0638f5e.jpg,Art,Mexican cultural arts center and gallery,http://www.missionculturalcenter.org/
Mission San Francisco /Mission Dolores ,https://upload.wikimedia.org/wikipedia/commons/9/91/San_Francisco_de_Asis--Mission_Dolores.JPG,Religious,Oldest original intact Mission in California and the oldest building in San Francisco,http://www.missiondolores.org/
Musee Mecanique ,https://upload.wikimedia.org/wikipedia/commons/1/1e/Mus%C3%A9e_M%C3%A9canique_003.JPG,Entertainment,"Penny arcade games, mechanically operated musical instruments, video arcade games",http://museemecaniquesf.com/
Museo ItaloAmericano ,http://www.sftourismtips.com/image-files/italian-american-museum-sign.jpg,Ethnic or History,Italian and Italian-American art and culture,http://museoitaloamericano.org/
Museum of Craft and Design,http://www.sanfrancisco.travel/sites/sftraveldev.prod.acquia-sites.com/files/field/image/museum-of-craft-and-design.jpg,Art,Contemporary craft and design,http://www.sfmcd.org
Museum of Performance & Design ,,Art,Performing arts,http://www.mpdsf.org/
Museum of Russian Culture,https://harbinerstories.files.wordpress.com/2010/12/img_0005.jpg,Ethnic,Collections are part of the Russian Center of San Francisco,http://www.museumofrussianculturesf.org/
Museum of the African Diaspora ,http://freelon.com/lib/images/projects/1222.jpg,Cultural,Diasporan histories of people of African origin & their influence & adaptation throughout the world,http://www.moadsf.org/
McElroy Octagon House ,http://noehill.com/sf/landmarks/vanness/mcelroy_octagon_thumb.jpg,History,Operated by The National Society of the Colonial Dames of America,http://nscda-ca.org/octagon-house/
Pacific Heritage Museum,https://s3-media1.fl.yelpcdn.com/bphoto/aU3k9ChPti6Di3jXxpCdEw/180s.jpg,Ethnic,"artistic, cultural and economic achievements of the peoples of the Pacific Rim ",http://www.sfstation.com/pacific-heritage-museum-b347
Presidio of San Francisco|The Presidio ,https://upload.wikimedia.org/wikipedia/commons/0/0f/GGBridge_Old_Coast_Guard_Station.jpg,History,"Park with several visitor centers with a fort, marine, military and historical exhibits",https://www.nps.gov/prsf/index.htm
Randall Museum ,https://www.naturefind.com/wp-content/uploads/2015/02/randall1.jpg,Science and Nat History,"Art, science, natural history, live animals",https://www.randallmuseum.org/
Ripley's Believe It or Not! ,https://s-media-cache-ak0.pinimg.com/736x/31/59/25/315925f6cfa5175f165b408d0b465779.jpg,Entertainment,Collections of weird things at Fisherman's Wharf,http://www.ripleys.com/sanfrancisco/
San Francisco Fire Department Museum ,https://s3-media4.fl.yelpcdn.com/bphoto/KUD9aKS5sWCCaCEjFkvuoQ/ls.jpg,History,"Houses a collection of antique engines, hand punpers and more",http://www.sffiremuseum.org
San Francisco Maritime National Historical Park,https://upload.wikimedia.org/wikipedia/commons/7/73/San_Francisco_Maritime_National_Historic_Park_2012-09-30_16-51-01.jpg,Maritime,"Includes a fleet of historic vessels, a visitor center, a maritime museum and a library/research facility",https://www.nps.gov/safr/index.htm
San Francisco Museum of Modern Art/MOMA,https://upload.wikimedia.org/wikipedia/commons/c/c5/MOMA_SF.jpg,Art,Collections of modern art,https://www.sfmoma.org/
San Francisco Railway Museum ,http://www.artbusiness.com/1open/images/0408096.jpg,History,"Antique streetcars, cable cars, earthquake of 1906",http://www.streetcar.org/museum/
San Francisco War Memorial and Performing Arts Center ,https://upload.wikimedia.org/wikipedia/commons/2/21/War_Memorial_Opera_House_(San_Francisco).JPG,Performing Arts,Tours of the various performance spaces,http://sfwmpac.org/
SFO Museum,https://www.switchmodern.com/images/blog/sfo-2.jpg,Aviation,Aviation Museum and a selection of temporary exhibitions in the terminals at [[San Francisco International Airport]],http://www.sfomuseum.org/
Society of California Pioneers,http://www.theherbstfoundation.org/wp-content/uploads/2013/05/society-of-california-pioneers-exterior-1.jpg,Local History,"California art, history, and culture",http://www.californiapioneers.org/lh/
SS Jeremiah O'Brien,http://sftravelcoupons.com/wp-content/uploads/2015/04/ssjobrien-21.jpg,Museum Ship,"World War II Liberty ship located at [[Fisherman's Wharf, San Francisco|Fisherman's Wharf]]",http://www.ssjeremiahobrien.org/
The Walt Disney Family Museum,http://www.sketchysoul.com/wp-content/uploads/2013/09/IMG_5293.jpg,Biographical,"Walt Disney's life, awards & memorabilia",http://waltdisney.org/
USS Pampanito  ,http://www.sftourismtips.com/image-files/uss-pampanito-in-sf.jpg,Museum Ship,"Submarine located at [[Fisherman's Wharf, San Francisco|Fisherman's Wharf]]",http://www.maritime.org/pamphome.htm
Wattis Institute for Contemporary Arts,https://vault.cca.edu/file/017d392b-3678-4480-b1e3-e398995b5db9/1/11_CCA-Wattis-exterior.jpg,Arts,Commissions and shows contemporary works by artists from around the world,http://www.wattis.org/main
Wells Fargo History Museum,http://www.trbimg.com/img-54c7a79a/turbine/la-me-ln-san-francisco-gold-nugget-heist-20150127,History,"First location of the Wells Fargo company, history of the company and the California gold rush",http://www.wellsfargohistory.com/museums/san-francisco/
Yerba Buena Center for the Arts ,https://upload.wikimedia.org/wikipedia/commons/f/f0/YBCA_Novellus_Theater_main_entrance.JPG,Art,Contemporary arts center with several galleries,https://www.ybca.org/
